category	category-href	title
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	FRSEMR 70F - Bioethics through Film: An Exploration of the Law and Ethics of Medicine
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	HISTSCI 300 - Direction of Doctoral Dissertations
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	PSY 3020 - Direction of Doctoral Dissertations
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	VES 97S - Sophomore Tutorial
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	RELIGION 3001 - Reading and Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	COMPLIT 396 - Preparation for General Examinations
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	PSY 2620R - Lab in Intergroup Neuroscience
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	ENGLISH 397 - Directed Study
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	PHYSICS 399B - Topics in Cosmology
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	BCMP 313 - Biochemistry of transmembrane receptors and signaling
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	ENGLISH 90CP - Contemporary American Playwrights: Seminar
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	SOCIOL 313 - The Urban Data Lab
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	"ECON 985TB - Research in Economic Theory, Modeling, Industrial Organization, and Econometrics"
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	HISTSCI 302 - Guided Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	SCRB 20 - Molecular Genetics and Genomics in Development and Disease
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	NEUROBIO 399 - Neurocircuits Thought to Regulate Metabolism and Behavior
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	AMSTDIES 398 - Reading and Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	AFRAMER 310 - Individual Reading Tutorial
